departamento,codigo_via,kilometro,modalidad,hora_siniestro,mes,dia_semana,es_noche,fatal
LIMA,PE-1S,24.0,DESPISTE,5.0,1.0,WEDNESDAY,0,0
CAJAMARCA,PE-3N,74.0,DESPISTE,16.0,1.0,WEDNESDAY,0,0
PASCO,PE-3N,103.0,DESPISTE,7.0,1.0,WEDNESDAY,0,0
CAJAMARCA,PE-08,111.0,DESPISTE,18.0,1.0,WEDNESDAY,1,0
LIMA,PE-1N,174.0,DESPISTE,18.0,1.0,WEDNESDAY,1,0
ICA,PE-1S,199.0,CHOQUE,16.0,1.0,WEDNESDAY,0,0
ICA,PE-1S,201.0,CHOQUE,16.0,1.0,WEDNESDAY,0,1
HUANUCO,PE-3N,226.0,ATROPELLO,21.0,1.0,WEDNESDAY,1,0
PIURA,PE-1N,232.0,CHOQUE,23.0,1.0,WEDNESDAY,1,0
AMAZONAS,PE-5N,263.0,DESPISTE,2.0,1.0,WEDNESDAY,0,0
AREQUIPA,PE-1S,521.0,CHOQUE,23.0,1.0,WEDNESDAY,1,0
LA LIBERTAD,PE-1N,732.0,DESPISTE,17.0,1.0,WEDNESDAY,0,0
LA LIBERTAD,PE-1N,734.0,DESPISTE,10.0,1.0,WEDNESDAY,0,0
MOQUEGUA,PE-1S,1166.0,CHOQUE,20.0,1.0,WEDNESDAY,1,0
TACNA,PE-1S,1245.0,DESPISTE,16.0,1.0,WEDNESDAY,0,1
PUNO,PE-1S,1351.0,CHOQUE,18.0,1.0,WEDNESDAY,1,0
AREQUIPA,PE-1SJ,6.0,DESPISTE,12.0,1.0,THURSDAY,0,1
TACNA,PE-1SD,8.0,DESPISTE,5.0,1.0,THURSDAY,0,1
AREQUIPA,PE-34J,14.0,CHOQUE,16.0,1.0,THURSDAY,0,0
AREQUIPA,PE-34E,18.0,CHOQUE,16.0,1.0,THURSDAY,0,0
AREQUIPA,PE-34A,34.0,ESPECIAL,11.0,1.0,THURSDAY,0,0
LIMA,PE-1N,39.0,ATROPELLO,10.0,1.0,THURSDAY,0,1
CAJAMARCA,PE-3N,43.0,CHOQUE,8.0,1.0,THURSDAY,0,0
LIMA,PE-22,81.0,CHOQUE,0.0,1.0,THURSDAY,0,0
LIMA,PE-1S,81.0,DESPISTE,8.0,1.0,THURSDAY,0,0
LIMA,PE-1S,91.0,DESPISTE,11.0,1.0,THURSDAY,0,0
AREQUIPA,PE-34A,131.0,CHOQUE,16.0,1.0,THURSDAY,0,1
JUNIN,PE-22,148.0,CHOQUE,13.0,1.0,THURSDAY,0,0
ANCASH,PE-16,162.0,CHOQUE,21.0,1.0,THURSDAY,1,0
LIMA,PE-1N,191.0,DESPISTE,17.0,1.0,THURSDAY,0,0
PUNO,PE-34H,226.0,DESPISTE,23.0,1.0,THURSDAY,1,1
ANCASH,PE-1N,276.0,CHOQUE,0.0,1.0,THURSDAY,0,1
AMAZONAS,PE-08B,294.0,DESPISTE,15.0,1.0,THURSDAY,0,0
APURIMAC,PE-3S,370.0,DESPISTE,6.0,1.0,THURSDAY,0,0
SAN MARTIN,PE-5N,579.0,DESPISTE,9.0,1.0,THURSDAY,0,0
MADRE DE DIOS,PE-30C,587.0,DESPISTE,16.0,1.0,THURSDAY,0,0
AREQUIPA,PE-1S,951.0,CHOQUE,21.0,1.0,THURSDAY,1,0
TACNA,PE-34B,1018.0,DESPISTE,20.0,1.0,THURSDAY,1,0
LIMA,LM-108,2.0,DESPISTE,18.0,1.0,FRIDAY,1,0
LIMA,PE-1S,71.0,CHOQUE,6.0,1.0,FRIDAY,0,0
LIMA,PE-1S,81.0,CHOQUE,2.0,1.0,FRIDAY,0,0
LIMA,PE-1S,81.0,CHOQUE,11.0,1.0,FRIDAY,0,0
LAMBAYEQUE,PE-1N,105.0,CHOQUE,19.0,1.0,FRIDAY,1,0
LIMA,PE-1N,123.0,CHOQUE,23.0,1.0,FRIDAY,1,0
JUNIN,PE-22,141.0,CHOQUE,11.0,1.0,FRIDAY,0,0
LIMA,PE-1N,158.0,CHOQUE,16.0,1.0,FRIDAY,0,0
ICA,PE-1S,192.0,DESPISTE,7.0,1.0,FRIDAY,0,0
AYACUCHO,PE-28A,233.0,DESPISTE,1.0,1.0,FRIDAY,0,0
PUNO,PE-34A,244.0,CHOQUE,6.0,1.0,FRIDAY,0,0
ANCASH,PE-3N,388.0,DESPISTE,10.0,1.0,FRIDAY,0,0
AREQUIPA,PE-1S,953.0,CHOQUE,1.0,1.0,FRIDAY,0,0
PIURA,PE-1N,1009.0,DESPISTE,23.0,1.0,FRIDAY,1,1
PUNO,PE-3S,1207.0,CHOQUE,21.0,1.0,FRIDAY,1,0
ANCASH,PE-16,2.0,DESPISTE,11.0,1.0,SATURDAY,0,0
AREQUIPA,PE-34,32.0,CHOQUE,12.0,1.0,SATURDAY,0,0
LIMA,PE-1S,34.0,DESPISTE,21.0,1.0,SATURDAY,1,0
TACNA,PE-1SD,34.0,CHOQUE,21.0,1.0,SATURDAY,1,1
JUNIN,PE-3S,37.0,DESPISTE,23.0,1.0,SATURDAY,1,0
UCAYALI,PE-5N,41.0,CHOQUE,17.0,1.0,SATURDAY,0,0
CAJAMARCA,PE-08B,45.0,CHOQUE,16.0,1.0,SATURDAY,0,0
JUNIN,PE-22,54.0,CHOQUE,1.0,1.0,SATURDAY,0,0
CAJAMARCA,PE-08A,62.0,DESPISTE,16.0,1.0,SATURDAY,0,0
LIMA,PE-1N,111.0,DESPISTE,11.0,1.0,SATURDAY,0,0
LIMA,PE-1N,117.0,DESPISTE,9.0,1.0,SATURDAY,0,0
LIMA,PE-1S,120.0,DESPISTE,12.0,1.0,SATURDAY,0,0
HUANUCO,PE-3N,207.0,CHOQUE,12.0,1.0,SATURDAY,0,0
LAMBAYEQUE,PE-1N,829.0,DESPISTE,16.0,1.0,SATURDAY,0,0
ICA,PE-28A,4.0,CHOQUE,19.0,1.0,SUNDAY,1,0
LIMA,PE-1S,21.0,CHOQUE,19.0,1.0,SUNDAY,1,0
LIMA,PE-20A,25.0,CHOQUE,13.0,1.0,SUNDAY,0,0
JUNIN,PE-5S,45.0,CHOQUE,13.0,1.0,SUNDAY,0,0
LIMA,PE-1S,54.0,DESPISTE,10.0,1.0,SUNDAY,0,0
LIMA,PE-1N,83.0,CHOQUE,14.0,1.0,SUNDAY,0,0
LAMBAYEQUE,PE-1N,91.0,CHOQUE,16.0,1.0,SUNDAY,0,0
LIMA,PE-22,96.0,CHOQUE,4.0,1.0,SUNDAY,0,0
LIMA,PE-1N,106.0,CHOQUE,14.0,1.0,SUNDAY,0,0
LIMA,PE-22,129.0,CHOQUE,7.0,1.0,SUNDAY,0,0
PASCO,PE-3N,137.0,CHOQUE,15.0,1.0,SUNDAY,0,0
AREQUIPA,PE-34A,158.0,DESPISTE,23.0,1.0,SUNDAY,1,0
ANCASH,PE-1N,309.0,CHOQUE,13.0,1.0,SUNDAY,0,1
MOQUEGUA,PE-1S,1136.0,DESPISTE,18.0,1.0,SUNDAY,1,0
PUNO,PE-3S,1258.0,DESPISTE,17.0,1.0,SUNDAY,0,0
AREQUIPA,PE-34E,1300.0,CHOQUE,10.0,1.0,SUNDAY,0,0
LIMA,PE-22,10.0,CHOQUE,15.0,1.0,MONDAY,0,0
LA LIBERTAD,PE-5N,20.0,DESPISTE,6.0,1.0,MONDAY,0,0
AYACUCHO,PE-28B,28.0,DESPISTE,23.0,1.0,MONDAY,1,0
PUNO,PE-30A,75.0,CHOQUE,22.0,1.0,MONDAY,1,1
ICA,PE-30A,118.0,DESPISTE,16.0,1.0,MONDAY,0,0
HUANCAVELICA,PE-3S,135.0,ATROPELLO,13.0,1.0,MONDAY,0,1
ICA,PE-1S,196.0,ATROPELLO,2.0,1.0,MONDAY,0,1
ICA,PE-1S,273.0,ATROPELLO,11.0,1.0,MONDAY,0,1
AREQUIPA,PE-1S,571.0,CHOQUE,0.0,1.0,MONDAY,0,1
AREQUIPA,PE-1S,902.0,DESPISTE,12.0,1.0,MONDAY,0,0
AREQUIPA,PE-1S,988.0,CHOQUE,14.0,1.0,MONDAY,0,1
LIMA,PE-1S,29.0,CHOQUE,15.0,1.0,TUESDAY,0,0
HUANUCO,PE-18A,111.0,DESPISTE,11.0,1.0,TUESDAY,0,0
HUANCAVELICA,PE-28A,124.0,ESPECIAL,4.0,1.0,TUESDAY,0,0
AREQUIPA,PE-34A,151.0,DESPISTE,16.0,1.0,TUESDAY,0,0
CUSCO,PE-3S,155.0,CHOQUE,5.0,1.0,TUESDAY,0,1
ANCASH,PE-1N,246.0,DESPISTE,6.0,1.0,TUESDAY,0,0
APURIMAC,PE-30A,283.0,DESPISTE,19.0,1.0,TUESDAY,1,0
ANCASH,PE-1N,287.0,DESPISTE,17.0,1.0,TUESDAY,0,0
ICA,PE-1S,315.0,DESPISTE,3.0,1.0,TUESDAY,0,0
ANCASH,PE-3N,629.0,CHOQUE,8.0,1.0,TUESDAY,0,0
CUSCO,PE-3S,870.0,CHOQUE,13.0,1.0,TUESDAY,0,0
AREQUIPA,PE-1S,872.0,DESPISTE,16.0,1.0,TUESDAY,0,0
CUSCO,PE-3S,1063.0,CHOQUE,6.0,1.0,TUESDAY,0,0
JUNIN,PE-22,15.0,DESPISTE,11.0,1.0,WEDNESDAY,0,0
AREQUIPA,PE-34E,23.0,DESPISTE,16.0,1.0,WEDNESDAY,0,1
JUNIN,PE-22,37.0,DESPISTE,7.0,1.0,WEDNESDAY,0,0
LIMA,PE-1N,48.0,CHOQUE,21.0,1.0,WEDNESDAY,1,0
CAJAMARCA,PE-3N,50.0,DESPISTE,15.0,1.0,WEDNESDAY,0,0
PIURA,PE-1N,61.0,CHOQUE,3.0,1.0,WEDNESDAY,0,0
HUANCAVELICA,PE-28A,80.0,CHOQUE,21.0,1.0,WEDNESDAY,1,1
AREQUIPA,PE-34A,141.0,DESPISTE,14.0,1.0,WEDNESDAY,0,0
PUNO,PE-34A,205.0,DESPISTE,10.0,1.0,WEDNESDAY,0,0
HUANUCO,PE-3N,272.0,DESPISTE,11.0,1.0,WEDNESDAY,0,0
ICA,PE-1S,331.0,CHOQUE,4.0,1.0,WEDNESDAY,0,1
ANCASH,PE-1N,416.0,ATROPELLO,5.0,1.0,WEDNESDAY,0,1
ANCASH,PE-12B,8.0,DESPISTE,12.0,1.0,THURSDAY,0,0
LA LIBERTAD,PE-1NF,9.0,DESPISTE,5.0,1.0,THURSDAY,0,0
CAJAMARCA,PE-06B,11.0,CHOQUE,15.0,1.0,THURSDAY,0,0
AREQUIPA,PE-34A,88.0,CHOQUE,18.0,1.0,THURSDAY,1,0
LAMBAYEQUE,PE-1N,89.0,CHOQUE,21.0,1.0,THURSDAY,1,0
AREQUIPA,PE-34A,120.0,CHOQUE,22.0,1.0,THURSDAY,1,0
JUNIN,PE-22,135.0,CHOQUE,7.0,1.0,THURSDAY,0,0
ANCASH,PE-1N,432.0,ESPECIAL,23.0,1.0,THURSDAY,1,0
SAN MARTIN,PE-5N,634.0,ESPECIAL,6.0,1.0,THURSDAY,0,0
LA LIBERTAD,PE-1N,655.0,DESPISTE,9.0,1.0,THURSDAY,0,0
AREQUIPA,PE-1S,823.0,ATROPELLO,10.0,1.0,THURSDAY,0,1
CUSCO,PE-3S,1067.0,DESPISTE,20.0,1.0,THURSDAY,1,0
TACNA,PE-1SD,28.0,CHOQUE,23.0,1.0,FRIDAY,1,0
LIMA,PE-1S,70.0,DESPISTE,23.0,1.0,FRIDAY,1,0
ICA,PE-30A,71.0,DESPISTE,12.0,1.0,FRIDAY,0,1
CAJAMARCA,PE-06B,79.0,CHOQUE,20.0,1.0,FRIDAY,1,0
LIMA,PE-1S,91.0,ATROPELLO,23.0,1.0,FRIDAY,1,1
JUNIN,PE-3N,94.0,CHOQUE,19.0,1.0,FRIDAY,1,0
LIMA,PE-1S,101.0,CHOQUE,16.0,1.0,FRIDAY,0,0
LIMA,PE-1S,129.0,DESPISTE,17.0,1.0,FRIDAY,0,0
LAMBAYEQUE,PE-06A,167.0,DESPISTE,17.0,1.0,FRIDAY,0,0
AREQUIPA,PE-34A,179.0,DESPISTE,5.0,1.0,FRIDAY,0,1
ICA,PE-1S,195.0,CHOQUE,6.0,1.0,FRIDAY,0,0
